year,ignore,temperature,percentile,scenario,color_val
1896.04,,0.051,83,grey,"rgb(100,100,100)"
1897.04,,0.054,83,grey,"rgb(100,100,100)"
1898.04,,0.057,83,grey,"rgb(100,100,100)"
1899.04,,0.061,83,grey,"rgb(100,100,100)"
1900.04,,0.065,83,grey,"rgb(100,100,100)"
1901.04,,0.067,83,grey,"rgb(100,100,100)"
1902.04,,0.069,83,grey,"rgb(100,100,100)"
1903.04,,0.071,83,grey,"rgb(100,100,100)"
1904.04,,0.075,83,grey,"rgb(100,100,100)"
1905.04,,0.079,83,grey,"rgb(100,100,100)"
1906.04,,0.083,83,grey,"rgb(100,100,100)"
1907.04,,0.087,83,grey,"rgb(100,100,100)"
1908.04,,0.091,83,grey,"rgb(100,100,100)"
1909.04,,0.096,83,grey,"rgb(100,100,100)"
1910.04,,0.1,83,grey,"rgb(100,100,100)"
1911.04,,0.104,83,grey,"rgb(100,100,100)"
1912.04,,0.108,83,grey,"rgb(100,100,100)"
1913.04,,0.112,83,grey,"rgb(100,100,100)"
1914.04,,0.116,83,grey,"rgb(100,100,100)"
1915.04,,0.122,83,grey,"rgb(100,100,100)"
1916.04,,0.129,83,grey,"rgb(100,100,100)"
1917.04,,0.135,83,grey,"rgb(100,100,100)"
1918.04,,0.141,83,grey,"rgb(100,100,100)"
1919.04,,0.147,83,grey,"rgb(100,100,100)"
1920.04,,0.153,83,grey,"rgb(100,100,100)"
1921.04,,0.159,83,grey,"rgb(100,100,100)"
1922.04,,0.165,83,grey,"rgb(100,100,100)"
1923.04,,0.169,83,grey,"rgb(100,100,100)"
1924.04,,0.173,83,grey,"rgb(100,100,100)"
1925.04,,0.177,83,grey,"rgb(100,100,100)"
1926.04,,0.18,83,grey,"rgb(100,100,100)"
1927.04,,0.183,83,grey,"rgb(100,100,100)"
1928.04,,0.187,83,grey,"rgb(100,100,100)"
1929.04,,0.192,83,grey,"rgb(100,100,100)"
1930.04,,0.196,83,grey,"rgb(100,100,100)"
1931.04,,0.2,83,grey,"rgb(100,100,100)"
1932.04,,0.205,83,grey,"rgb(100,100,100)"
1933.04,,0.209,83,grey,"rgb(100,100,100)"
1934.04,,0.215,83,grey,"rgb(100,100,100)"
1935.04,,0.221,83,grey,"rgb(100,100,100)"
1936.04,,0.226,83,grey,"rgb(100,100,100)"
1937.04,,0.23,83,grey,"rgb(100,100,100)"
1938.04,,0.235,83,grey,"rgb(100,100,100)"
1939.04,,0.24,83,grey,"rgb(100,100,100)"
